Method	Domain	Family	FLU	HEX	OIL	PD5	PD6	PF7	PHE	PHE+FLU	PHE+HEX	PHE+OIL	PHE+PYR	PYR	FAR_Island_C	NOR_Island_C	NOR_Island_W	PRI_Island_W	SAN_Island_W	Control_W	Soil_Env	Soil_MC	Water_Env	Water_MC	Coral_Env
Environmental	Bacteria	Coprothermobacteraceae													0	6	0	0	1		0	0	1	0	6
Environmental	Bacteria	Coriobacteriaceae													0	3	1	0	0		0	0	1	0	3
Environmental	Bacteria	Coxiellaceae				28	0	0							2	5	3	23	22		28	0	48	0	7
Environmental	Bacteria	Cyanobiaceae													11	12	964	4256	1924		0	0	7144	0	23
Environmental	Bacteria	Cyclobacteriaceae													3	44	7	39	63		0	0	109	0	47
Environmental	Bacteria	Cytophagaceae													0	9	3	11	23		0	0	37	0	9
Environmental	Bacteria	Dehalococcoidaceae													11	33	4	4	5		0	0	13	0	44
Environmental	Bacteria	Deinococcaceae													10	38	0	19	11		0	0	30	0	48
Environmental	Bacteria	Denitrovibrionaceae													2	5	6	5	2		0	0	13	0	7
Environmental	Bacteria	Dermabacteraceae													5	4	0	0	0		0	0	0	0	9
Environmental	Bacteria	Dermatophilaceae													2	20	3	11	11		0	0	25	0	22
Environmental	Bacteria	Desulfarculaceae													7	14	0	3	4		0	0	7	0	21
Environmental	Bacteria	Desulfatibacillaceae													5	16	2	11	12		0	0	25	0	21
Environmental	Bacteria	Desulfitobacteriaceae													0	17	2	9	2		0	0	13	0	17
Environmental	Bacteria	Desulfobacteraceae													6	14	0	4	10		0	0	14	0	20
Environmental	Bacteria	Desulfobulbaceae													2	10	0	0	5		0	0	5	0	12
Environmental	Bacteria	Desulfococcaceae													3	12	0	8	10		0	0	18	0	15
Environmental	Bacteria	Desulfohalobiaceae													0	7	1	8	5		0	0	14	0	7
Environmental	Bacteria	Desulfomicrobiaceae													2	12	4	8	5		0	0	17	0	14
Environmental	Bacteria	Desulfonatronovibrionaceae													0	15	2	0	5		0	0	7	0	15
Environmental	Bacteria	Desulforudaceae													3	20	0	2	4		0	0	6	0	23
Environmental	Bacteria	Desulfotomaculaceae													8	29	1	10	11		0	0	22	0	37
Environmental	Bacteria	Desulfovibrionaceae													25	66	17	38	39		0	0	94	0	91
Environmental	Bacteria	Desulfurivibrionaceae													0	16	4	6	9		0	0	19	0	16
Environmental	Bacteria	Desulfurobacteriaceae													0	8	1	1	4		0	0	6	0	8
Environmental	Bacteria	Desulfuromonadaceae													0	15	8	4	7		0	0	19	0	15
Environmental	Bacteria	Dethiobacteraceae													1	11	2	0	1		0	0	3	0	12
Environmental	Bacteria	Dethiosulfovibrionaceae													1	4	1	1	2		0	0	4	0	5
Environmental	Bacteria	Dialisteraceae													2	0	0	1	0		0	0	1	0	2
Environmental	Bacteria	Dictyoglomaceae													3	6	0	6	1		0	0	7	0	9
Environmental	Bacteria	Eggerthellaceae													4	12	0	2	9		0	0	11	0	16
Environmental	Bacteria	Elusimicrobiaceae													0	3	0	1	3		0	0	4	0	3
Environmental	Bacteria	Enterobacteriaceae													40	139	1026	423	373		0	0	1822	0	179
Environmental	Bacteria	Enterococcaceae													1	10	15	5	2		0	0	22	0	11
Environmental	Bacteria	Erysipelotrichaceae													0	5	1	4	2		0	0	7	0	5
Environmental	Bacteria	Ethanoligenenaceae													0	2	0	0	0		0	0	0	0	2
Environmental	Bacteria	Eubacteriaceae													6	6	6	8	10		0	0	24	0	12
Environmental	Bacteria	Exiguobacteraceae													0	4	2	2	7		0	0	11	0	4
Environmental	Bacteria	Fervidobacteriaceae													3	3	2	6	4		0	0	12	0	6
Environmental	Bacteria	Fibrobacteraceae													0	2	0	1	4		0	0	5	0	2
Environmental	Bacteria	Filifactoraceae													0	0	0	4	1		0	0	5	0	0
Environmental	Bacteria	Fimbriimonadaceae				0	0	120													120	0	0	0	0
Environmental	Bacteria	Flammeovirgaceae													0	0	0	0	1		0	0	1	0	0
Environmental	Bacteria	Flavobacteriaceae				0	121	248							51	184	146	303	582		369	0	1031	0	235
Environmental	Bacteria	Francisellaceae													1	9	8	35	28		0	0	71	0	10
Environmental	Bacteria	Frankiaceae													25	113	3	23	25		0	0	51	0	138
Environmental	Bacteria	Fusobacteriaceae													3	24	12	21	11		0	0	44	0	27
Environmental	Bacteria	Gallionellaceae													3	8	3	17	14		0	0	34	0	11
Environmental	Bacteria	Gemellaceae													1	2	2	0	0		0	0	2	0	3
Environmental	Bacteria	Gemmataceae				488	283	656							0	0	0	0	1		1427	0	1	0	0
Environmental	Bacteria	Gemmatimonadaceae				168	422	830													1420	0	0	0	0
Environmental	Bacteria	Geobacteraceae													44	116	26	45	59		0	0	130	0	160
Environmental	Bacteria	Geodermatophilaceae													2	22	1	6	9		0	0	16	0	24
Environmental	Bacteria	Gimesiaceae				0	0	75													75	0	0	0	0
Environmental	Bacteria	Gloeobacteraceae													0	0	0	0	1		0	0	1	0	0
Environmental	Bacteria	Halanaerobiaceae													0	8	0	0	4		0	0	4	0	8
Environmental	Bacteria	Haliangiaceae				54	303	123							13	62	6	8	28		480	0	42	0	75
Environmental	Bacteria	Halieaceae													7	36	22	50	40		0	0	112	0	43
Environmental	Bacteria	Halobacillaceae													0	0	0	0	1		0	0	1	0	0
Environmental	Bacteria	Halomonadaceae													5	17	29	52	30		0	0	111	0	22
Environmental	Bacteria	Halorhodospiraceae													18	36	18	27	34		0	0	79	0	54
Environmental	Bacteria	Halothermotrichaceae													5	20	3	3	3		0	0	9	0	25
Environmental	Bacteria	Halothiobacillaceae													3	9	3	9	7		0	0	19	0	12
Environmental	Bacteria	Hapalosiphonaceae													0	0	0	0	1		0	0	1	0	0
